dteday,season,yr,mnth,holiday,weekday,weathersit,casual,registered,cnt
2011-01-01,springer,0,1,0,6,2,331,654,985
2011-01-02,springer,0,1,0,0,2,131,670,801
2011-01-03,springer,0,1,0,1,1,120,1229,1349
2011-01-04,springer,0,1,0,2,1,108,1454,1562
2011-01-05,springer,0,1,0,3,1,82,1518,1600
2011-01-06,springer,0,1,0,4,1,88,1518,1606
2011-01-07,springer,0,1,0,5,2,148,1362,1510
2011-01-08,springer,0,1,0,6,2,68,891,959
2011-01-09,springer,0,1,0,0,1,54,768,822
2011-01-10,springer,0,1,0,1,1,41,1280,1321
2011-01-11,springer,0,1,0,2,2,43,1220,1263
2011-01-12,springer,0,1,0,3,1,25,1137,1162
2011-01-13,springer,0,1,0,4,1,38,1368,1406
2011-01-14,springer,0,1,0,5,1,54,1367,1421
2011-01-15,springer,0,1,0,6,2,222,1026,1248
2011-01-16,springer,0,1,0,0,1,251,953,1204
2011-01-17,springer,0,1,1,1,2,117,883,1000
2011-01-18,springer,0,1,0,2,2,9,674,683
2011-01-19,springer,0,1,0,3,2,78,1572,1650
2011-01-20,springer,0,1,0,4,2,83,1844,1927
2011-01-21,springer,0,1,0,5,1,75,1468,1543
2011-01-22,springer,0,1,0,6,1,93,888,981
2011-01-23,springer,0,1,0,0,1,150,836,986
2011-01-24,springer,0,1,0,1,1,86,1330,1416
2011-01-25,springer,0,1,0,2,2,186,1799,1985
2011-01-26,springer,0,1,0,3,3,34,472,506
2011-01-27,springer,0,1,0,4,1,15,416,431
2011-01-28,springer,0,1,0,5,2,38,1129,1167
2011-01-29,springer,0,1,0,6,1,123,975,1098
2011-01-30,springer,0,1,0,0,1,140,956,1096
2011-01-31,springer,0,1,0,1,2,42,1459,1501
2011-02-01,springer,0,2,0,2,2,47,1313,1360
2011-02-02,springer,0,2,0,3,2,72,1454,1526
2011-02-03,springer,0,2,0,4,1,61,1489,1550
2011-02-04,springer,0,2,0,5,2,88,1620,1708
2011-02-05,springer,0,2,0,6,2,100,905,1005
2011-02-06,springer,0,2,0,0,1,354,1269,1623
2011-02-07,springer,0,2,0,1,1,120,1592,1712
2011-02-08,springer,0,2,0,2,1,64,1466,1530
2011-02-09,springer,0,2,0,3,2,53,1552,1605
2011-02-10,springer,0,2,0,4,1,47,1491,1538
2011-02-11,springer,0,2,0,5,1,149,1597,1746
2011-02-12,springer,0,2,0,6,1,288,1184,1472
2011-02-13,springer,0,2,0,0,1,397,1192,1589
2011-02-14,springer,0,2,0,1,1,208,1705,1913
2011-02-15,springer,0,2,0,2,1,140,1675,1815
2011-02-16,springer,0,2,0,3,1,218,1897,2115
2011-02-17,springer,0,2,0,4,1,259,2216,2475
2011-02-18,springer,0,2,0,5,1,579,2348,2927
2011-02-19,springer,0,2,0,6,1,532,1103,1635
2011-02-20,springer,0,2,0,0,1,639,1173,1812
2011-02-21,springer,0,2,1,1,2,195,912,1107
2011-02-22,springer,0,2,0,2,1,74,1376,1450
